Timestamp,Event Type,Alert Type,Floor,Apartment,Content,Status
2025-10-14 08:49:21,REGISTER,N/A,10,1009,"Registration sent",OK
2025-10-14 08:53:32,ALERT_RECEIVED,N/A,10,1009,"Sự cố điện/nước: Mất nước ở toàn bộ tòa nhà trong 1h vào lúc 19h tối nay!!",OK
2025-10-14 08:53:32,ACK_SENT,N/A,10,1009,"Alert ID: 1760406812652-594",OK
2025-10-14 09:00:28,ALERT_RECEIVED,N/A,10,1009,"Cháy nổ: Cháy ở tầng 2",OK
2025-10-14 09:00:28,ACK_SENT,N/A,10,1009,"Alert ID: 1760407228133-917",OK
2025-10-14 09:00:33,ALERT_RECEIVED,N/A,10,1009,"Cháy nổ: Cháy ở tầng 2",OK
2025-10-14 09:00:33,ACK_SENT,N/A,10,1009,"Alert ID: 1760407233135-125",OK
2025-10-14 09:00:38,ALERT_RECEIVED,N/A,10,1009,"Cháy nổ: Cháy ở tầng 2",OK
2025-10-14 09:00:38,ACK_SENT,N/A,10,1009,"Alert ID: 1760407238133-165",OK
2025-10-14 09:00:43,ALERT_RECEIVED,N/A,10,1009,"Cháy nổ: Cháy ở tầng 2",OK
2025-10-14 09:00:43,ACK_SENT,N/A,10,1009,"Alert ID: 1760407243133-961",OK
